customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,online_order,list_price,order_status_Approved,order_status_Cancelled,brand_Giant Bicycles,brand_Norco Bicycles,brand_OHM Cycles,brand_Solex,brand_Trek Bicycles,brand_WeareA2B,product_line_Mountain,product_line_Road,product_line_Standard,product_line_Touring,offline_order,recency,top_customer,age
11,Male,99.0,,Property,Mass Customer,N,No,9.0,93405 Ludington Park,3044.0,VIC,Australia,8.0,3.0,6779.440000000001,6.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,3.0,888.5823481728935,0.0,65.0
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,44339 Golden Leaf Alley,4557.0,QLD,Australia,4.0,3.0,6394.21,7.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,4.0,909.5823481728937,0.0,25.0
13,Male,38.0,Developer I,Financial Services,High Net Worth,N,Yes,8.0,2 Sutherland Street,3799.0,VIC,Australia,6.0,4.0,7734.740000000002,7.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,869.5823481728935,0.0,65.0
14,Female,85.0,Account Executive,Financial Services,Affluent Customer,N,No,6.0,9 Mcbride Trail,2760.0,New South Wales,Australia,8.0,3.0,3593.57,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,889.5823481728935,0.0,37.0
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,9861 New Castle Avenue,2428.0,New South Wales,Australia,9.0,3.0,4923.339999999998,6.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,877.5823481728935,0.0,19.0
16,Male,38.0,Media Manager IV,,Mass Customer,N,Yes,18.0,52 Moland Street,3331.0,VIC,Australia,4.0,1.0,7763.79,5.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,941.5823481728937,0.0,43.0
17,Male,57.0,Sales Associate,,Affluent Customer,N,Yes,15.0,82391 Kensington Lane,3058.0,VIC,Australia,9.0,2.0,4676.190000000001,5.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,3.0,842.5823481728935,0.0,58.0
18,Female,79.0,Professor,,Affluent Customer,N,No,11.0,092 2nd Alley,2135.0,New South Wales,Australia,12.0,4.0,8878.62,7.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,976.5823481728937,0.0,52.0
19,Female,76.0,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,59 Spaight Circle,2233.0,New South Wales,Australia,9.0,1.0,4238.190000000001,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,944.5823481728937,0.0,19.0
20,Male,72.0,Project Manager,Manufacturing,Mass Customer,N,No,11.0,032 Bartelt Crossing,2444.0,New South Wales,Australia,8.0,2.0,6618.8600000000015,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,873.5823481728935,0.0,39.0
21,Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,18 Jenna Center,2650.0,New South Wales,Australia,7.0,2.0,7446.209999999999,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,848.5823481728935,0.0,39.0
22,Female,79.0,,IT,Mass Customer,N,No,11.0,,2170.0,,,,4.0,9546.35,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,7.0,0.0,4.0,939.5823481728937,0.0,57.0
23,Male,43.0,,,High Net Worth,N,Yes,1.0,,2170.0,,,,4.0,8415.53,7.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,6.0,0.0,3.0,852.5823481728935,0.0,25.0
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,3 Cordelia Plaza,2153.0,New South Wales,Australia,10.0,3.0,8078.950000000002,8.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,6.0,1.0,5.0,859.5823481728935,0.0,42.0
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,28 5th Center,4413.0,QLD,Australia,3.0,8.0,9996.33,12.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,10.0,0.0,4.0,847.5823481728935,1.0,43.0
26,Female,12.0,Editor,Financial Services,Mass Customer,N,Yes,16.0,52 Carey Alley,4740.0,QLD,Australia,5.0,2.0,3943.12,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,955.5823481728937,0.0,41.0
27,Male,37.0,Research Nurse,Health,Mass Customer,N,Yes,12.0,96 Texas Plaza,3218.0,VIC,Australia,7.0,2.0,7679.97,7.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,1.0,5.0,985.5823481728937,0.0,41.0
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,48 Eagan Avenue,4868.0,QLD,Australia,4.0,5.0,5492.9000000000015,6.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,925.5823481728937,0.0,46.0
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,9 Buell Park,4116.0,QLD,Australia,7.0,3.0,10855.57,9.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,6.0,2.0,6.0,864.5823481728935,0.0,51.0
30,Male,18.0,,IT,Affluent Customer,N,Yes,6.0,02663 Buell Parkway,2519.0,New South Wales,Australia,11.0,2.0,3736.52,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,853.5823481728935,0.0,58.0
31,Female,3.0,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,2294 Pleasure Place,2135.0,New South Wales,Australia,12.0,3.0,3109.9999999999995,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,931.5823481728937,0.0,57.0
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,2951 Petterle Place,2756.0,New South Wales,Australia,9.0,2.0,7873.18,7.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,980.5823481728937,0.0,25.0
33,Male,44.0,Product Engineer,,Affluent Customer,N,Yes,11.0,63 Lukken Drive,2170.0,New South Wales,Australia,9.0,3.0,9384.23,6.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,6.0,0.0,4.0,880.5823481728935,0.0,62.0
34,U,59.0,Legal Assistant,IT,Affluent Customer,N,No,20.0,833 Luster Way,4005.0,QLD,Australia,8.0,3.0,13133.000000000002,9.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,6.0,1.0,6.0,944.5823481728937,0.0,42.0
35,Female,40.0,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,34 Russell Plaza,4127.0,QLD,Australia,6.0,1.0,4182.28,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,934.5823481728937,0.0,56.0
36,Female,33.0,VP Quality Control,,Affluent Customer,N,No,22.0,78 Del Sol Hill,2535.0,New South Wales,Australia,8.0,0.0,1781.04,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1005.5823481728937,0.0,42.0
37,Female,46.0,Social Worker,Health,High Net Worth,N,No,16.0,54 Sage Plaza,4726.0,QLD,Australia,1.0,4.0,11291.71,9.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,6.0,0.0,5.0,849.5823481728935,1.0,34.0
38,Female,37.0,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,90 Lawn Parkway,4805.0,QLD,Australia,4.0,1.0,4502.59,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,892.5823481728935,0.0,64.0
39,Male,5.0,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,38726 Ilene Crossing,2212.0,New South Wales,Australia,10.0,4.0,11237.19,12.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,3.0,9.0,0.0,8.0,876.5823481728935,0.0,41.0
40,Female,91.0,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,3496 Brown Drive,2207.0,New South Wales,Australia,8.0,4.0,6175.27,6.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,2.0,856.5823481728935,0.0,38.0
41,Male,64.0,Food Chemist,Health,Mass Customer,N,No,16.0,7188 Cody Way,3350.0,VIC,Australia,9.0,5.0,9114.15,8.0,1.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,6.0,1.0,4.0,871.5823481728935,0.0,44.0
42,Female,24.0,Accountant III,Manufacturing,Mass Customer,N,No,18.0,1 Claremont Park,3931.0,VIC,Australia,10.0,2.0,1936.46,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,953.5823481728937,0.0,43.0
43,Female,38.0,Director of Sales,Retail,Mass Customer,N,No,5.0,60 Eagan Circle,4018.0,QLD,Australia,8.0,3.0,6574.59,9.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,5.0,1.0,6.0,903.5823481728937,0.0,37.0
44,Male,63.0,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,89314 Eagle Crest Center,4670.0,QLD,Australia,2.0,2.0,7497.399999999999,7.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,5.0,877.5823481728935,0.0,38.0
45,Male,64.0,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,2028 Lakewood Place,2480.0,New South Wales,Australia,3.0,2.0,2912.33,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,885.5823481728935,0.0,44.0
46,Female,98.0,,,Affluent Customer,N,Yes,15.0,70875 Hudson Point,3212.0,VIC,Australia,6.0,2.0,4923.14,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,895.5823481728935,0.0,48.0
47,Male,51.0,Registered Nurse,Health,Affluent Customer,N,No,2.0,543 Killdeer Park,2322.0,New South Wales,Australia,4.0,3.0,8022.01,7.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,4.0,877.5823481728935,0.0,27.0
48,Female,46.0,Biostatistician II,,Mass Customer,N,Yes,8.0,22125 Ramsey Drive,3198.0,VIC,Australia,9.0,5.0,9654.12,8.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,6.0,0.0,3.0,924.5823481728937,0.0,44.0
49,Male,63.0,VP Quality Control,,Affluent Customer,N,No,1.0,3107 Calypso Terrace,2210.0,New South Wales,Australia,9.0,3.0,7582.920000000001,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,878.5823481728935,0.0,26.0
50,Male,38.0,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,957 Veith Junction,2047.0,New South Wales,Australia,10.0,5.0,9252.66,8.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,2.0,3.0,868.5823481728935,0.0,39.0
51,Male,68.0,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,4853 Gulseth Avenue,4503.0,QLD,Australia,5.0,4.0,9667.460000000003,8.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0,4.0,897.5823481728935,0.0,60.0
52,Male,57.0,,Financial Services,Mass Customer,N,Yes,13.0,9 Michigan Terrace,2145.0,New South Wales,Australia,8.0,2.0,10106.57,7.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,5.0,0.0,5.0,846.5823481728935,0.0,31.0
53,Female,22.0,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,62 Steensland Road,4350.0,QLD,Australia,3.0,2.0,5472.74,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,849.5823481728935,0.0,66.0
54,Female,2.0,Sales Associate,Property,Mass Customer,N,Yes,18.0,6 Homewood Avenue,2142.0,New South Wales,Australia,8.0,5.0,9813.66,7.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,2.0,909.5823481728937,0.0,53.0
55,Male,48.0,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,15 Almo Lane,2029.0,New South Wales,Australia,10.0,4.0,6754.209999999999,8.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,8.0,0.0,4.0,888.5823481728935,0.0,63.0
56,Male,44.0,VP Sales,Property,Mass Customer,N,Yes,4.0,690 Glacier Hill Circle,2127.0,New South Wales,Australia,10.0,3.0,5060.86,7.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,844.5823481728935,0.0,23.0
57,Male,87.0,Chief Design Engineer,,Mass Customer,N,Yes,13.0,89787 Village Green Terrace,4280.0,QLD,Australia,6.0,2.0,8748.75,6.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,877.5823481728935,0.0,31.0
58,Female,26.0,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,18 Elgar Park,2166.0,New South Wales,Australia,9.0,4.0,6967.31,8.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,6.0,0.0,4.0,862.5823481728935,0.0,52.0
59,Male,60.0,Physical Therapy Assistant,,High Net Worth,N,No,3.0,413 Mayer Street,2046.0,New South Wales,Australia,9.0,1.0,2797.47,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,864.5823481728935,0.0,20.0
60,Female,18.0,,Manufacturing,Mass Customer,N,No,10.0,39 3rd Drive,2026.0,New South Wales,Australia,10.0,0.0,1526.9,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1042.5823481728937,0.0,50.0
61,Female,47.0,Help Desk Operator,Property,High Net Worth,N,No,13.0,44516 Katie Parkway,2765.0,New South Wales,Australia,7.0,2.0,8397.28,7.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,2.0,5.0,889.5823481728935,0.0,60.0
62,Female,38.0,,IT,Mass Customer,N,Yes,22.0,41 Schurz Center,2749.0,New South Wales,Australia,8.0,3.0,5845.95,6.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0,847.5823481728935,0.0,40.0
63,Female,58.0,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,68150 Boyd Road,2745.0,New South Wales,Australia,9.0,1.0,4156.66,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,910.5823481728937,0.0,54.0
64,Male,73.0,Legal Assistant,IT,High Net Worth,N,No,4.0,11474 Westend Hill,3752.0,VIC,Australia,8.0,4.0,4111.12,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,845.5823481728935,0.0,42.0
65,Male,21.0,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,308 Jana Crossing,2153.0,New South Wales,Australia,10.0,1.0,8056.47,6.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,5.0,978.5823481728937,0.0,44.0
66,Male,46.0,Account Executive,Argiculture,High Net Worth,N,No,1.0,163 Straubel Trail,2217.0,New South Wales,Australia,10.0,3.0,6489.33,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,885.5823481728935,0.0,18.0
67,Male,67.0,Web Developer II,Retail,Mass Customer,N,No,18.0,68294 Clarendon Crossing,2230.0,New South Wales,Australia,10.0,4.0,5304.15,5.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,958.5823481728937,0.0,59.0
68,Female,37.0,Information Systems Manager,,Affluent Customer,N,No,9.0,486 Mariners Cove Plaza,3046.0,VIC,Australia,7.0,3.0,5127.98,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,926.5823481728937,0.0,46.0
69,Female,16.0,Web Developer II,,Mass Customer,N,No,6.0,0322 Dryden Court,3183.0,VIC,Australia,7.0,3.0,8395.75,6.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,1.0,3.0,862.5823481728935,0.0,50.0
70,Male,78.0,Paralegal,Financial Services,Affluent Customer,N,No,8.0,9 Bonner Road,2070.0,New South Wales,Australia,12.0,3.0,4801.11,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,846.5823481728935,0.0,27.0
71,Male,30.0,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,07041 Briar Crest Lane,2213.0,New South Wales,Australia,10.0,0.0,1415.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,973.5823481728937,0.0,35.0
72,Male,93.0,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,29466 Hanson Pass,4208.0,QLD,Australia,6.0,2.0,4360.42,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,864.5823481728935,0.0,48.0
73,Female,16.0,Teacher,,Affluent Customer,N,Yes,5.0,0212 Forest Run Trail,2774.0,New South Wales,Australia,8.0,2.0,5265.87,6.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,1010.5823481728937,0.0,59.0
74,Female,94.0,,,Mass Customer,N,Yes,6.0,33055 Menomonie Parkway,4133.0,QLD,Australia,8.0,1.0,2985.640000000001,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,870.5823481728935,0.0,50.0
75,Female,28.0,VP Product Management,Property,Mass Customer,N,No,19.0,4763 Merchant Avenue,2756.0,New South Wales,Australia,8.0,3.0,7130.63,8.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,1.0,5.0,902.5823481728937,0.0,41.0
76,Female,20.0,Statistician II,Retail,High Net Worth,N,Yes,18.0,439 Ridgeway Court,4213.0,QLD,Australia,9.0,3.0,7425.04,8.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,5.0,843.5823481728935,0.0,42.0
77,Male,79.0,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,2 Clyde Gallagher Lane,4170.0,QLD,Australia,5.0,2.0,2964.73,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,943.5823481728937,0.0,30.0
78,Male,37.0,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,97455 Loeprich Lane,2153.0,New South Wales,Australia,9.0,1.0,1139.12,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1053.5823481728937,0.0,35.0
79,Female,76.0,Account Executive,Manufacturing,Mass Customer,N,No,18.0,9527 Ridgeway Street,2073.0,New South Wales,Australia,10.0,3.0,6761.4299999999985,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,885.5823481728935,0.0,51.0
80,Male,11.0,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,7 Jackson Point,3561.0,VIC,Australia,1.0,8.0,12564.820000000003,10.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,6.0,0.0,2.0,870.5823481728935,0.0,42.0
81,Female,58.0,,Health,High Net Worth,N,No,13.0,74 Anniversary Junction,2330.0,New South Wales,Australia,6.0,2.0,4421.7,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,846.5823481728935,0.0,33.0
82,Female,93.0,Software Test Engineer III,Property,High Net Worth,N,No,19.0,2083 Spaight Court,3977.0,VIC,Australia,8.0,4.0,5293.91,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,920.5823481728937,0.0,54.0
83,Male,97.0,Internal Auditor,IT,Mass Customer,N,Yes,18.0,2796 Caliangt Circle,2204.0,New South Wales,Australia,12.0,3.0,4464.6500000000015,6.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,3.0,922.5823481728937,0.0,53.0
84,Male,78.0,Accountant III,,Mass Customer,N,Yes,14.0,96061 Ludington Place,2086.0,New South Wales,Australia,11.0,1.0,5464.65,7.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,870.5823481728935,0.0,62.0
85,Male,1.0,Analyst Programmer,,Mass Customer,N,No,8.0,5037 Merchant Crossing,2226.0,New South Wales,Australia,11.0,3.0,3158.63,6.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,5.0,0.0,3.0,879.5823481728935,0.0,61.0
86,Male,75.0,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,289 Haas Street,2075.0,New South Wales,Australia,11.0,4.0,7319.3499999999985,9.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,7.0,0.0,5.0,842.5823481728935,0.0,31.0
87,Male,78.0,Editor,Financial Services,Mass Customer,N,No,8.0,4423 Bartelt Parkway,2038.0,New South Wales,Australia,12.0,5.0,7994.73,9.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,8.0,0.0,4.0,860.5823481728935,0.0,46.0
88,Female,41.0,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,5 Grim Center,2069.0,New South Wales,Australia,12.0,2.0,5550.83,6.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,4.0,916.5823481728937,0.0,54.0
89,Male,74.0,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,73042 Roth Crossing,2100.0,New South Wales,Australia,11.0,4.0,12741.44,9.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,7.0,1.0,5.0,846.5823481728935,1.0,53.0
90,Male,76.0,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,171 Fordem Junction,2233.0,New South Wales,Australia,10.0,2.0,7703.580000000001,7.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0,5.0,872.5823481728935,0.0,35.0
91,Male,69.0,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,2640 Manley Point,2166.0,New South Wales,Australia,9.0,3.0,8066.44,8.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,6.0,1.0,5.0,851.5823481728935,0.0,65.0
92,Female,98.0,Recruiting Manager,Health,Mass Customer,N,No,12.0,3 Hintze Pass,3133.0,VIC,Australia,10.0,2.0,5098.43,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,876.5823481728935,0.0,39.0
93,Male,63.0,Project Manager,Retail,Mass Customer,N,Yes,10.0,2 Mcbride Road,3070.0,VIC,Australia,10.0,2.0,5276.13,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,921.5823481728937,0.0,43.0
94,Male,33.0,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,67234 Transport Hill,2777.0,New South Wales,Australia,7.0,2.0,8305.77,7.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,6.0,1.0,5.0,875.5823481728935,0.0,45.0
95,Female,67.0,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,72 Dorton Crossing,3133.0,VIC,Australia,10.0,1.0,5049.799999999998,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,880.5823481728935,0.0,59.0
